"ÈÕÆÚ","Æ·ÖÖ","½»ÊÕÁ¿","µ¥Î»"
"2017-08-16","µç½âÄø","616.0","¶Ö"
"2017-08-16","Îý","0.0","¶Ö"
"2017-08-16","îÜ","0.0","¶Ö"
"2017-08-16","î÷","0.1","¹«½ï"
"2017-08-16","²»Ðâ¸Ö","323.0","¶Ö"
"2017-08-15","µç½âÄø","1127.0","¶Ö"
"2017-08-15","Îý","0.0","¶Ö"
"2017-08-15","îÜ","5.0","¶Ö"
"2017-08-15","î÷","0.0","¹«½ï"
"2017-08-14","µç½âÄø","995.0","¶Ö"
"2017-08-14","Îý","0.0","¶Ö"
"2017-08-14","îÜ","0.0","¶Ö"
"2017-08-14","î÷","0.0","¹«½ï"
"2017-08-11","µç½âÄø","1152.0","¶Ö"
"2017-08-11","Îý","0.0","¶Ö"
"2017-08-11","îÜ","6.0","¶Ö"
"2017-08-11","î÷","0.0","¹«½ï"
"2017-08-10","µç½âÄø","1269.0","¶Ö"
"2017-08-10","Îý","0.0","¶Ö"
"2017-08-10","îÜ","0.0","¶Ö"
"2017-08-10","î÷","0.0","¹«½ï"
"2017-08-09","µç½âÄø","1268.0","¶Ö"
"2017-08-09","Îý","0.0","¶Ö"
"2017-08-09","îÜ","7.75","¶Ö"
"2017-08-09","î÷","0.0","¹«½ï"
"2017-08-08","µç½âÄø","580.0","¶Ö"
"2017-08-08","Îý","0.0","¶Ö"
"2017-08-08","îÜ","4.0","¶Ö"
"2017-08-08","î÷","0.0","¹«½ï"
"2017-08-07","µç½âÄø","381.0","¶Ö"
"2017-08-07","Îý","0.0","¶Ö"
"2017-08-07","îÜ","0.0","¶Ö"
"2017-08-07","î÷","0.0","¹«½ï"
"2017-08-04","µç½âÄø","203.0","¶Ö"
"2017-08-04","Îý","0.0","¶Ö"
"2017-08-04","îÜ","2.0","¶Ö"
"2017-08-04","î÷","0.0","¹«½ï"
"2017-08-03","µç½âÄø","342.0","¶Ö"
"2017-08-03","Îý","0.0","¶Ö"
"2017-08-03","îÜ","4.0","¶Ö"
"2017-08-03","î÷","0.0","¹«½ï"
"2017-08-02","µç½âÄø","305.0","¶Ö"
"2017-08-02","Îý","0.0","¶Ö"
"2017-08-02","îÜ","1.0","¶Ö"
"2017-08-02","î÷","0.0","¹«½ï"
"2017-08-01","µç½âÄø","435.0","¶Ö"
"2017-08-01","Îý","0.0","¶Ö"
"2017-08-01","îÜ","33.5","¶Ö"
"2017-08-01","î÷","0.0","¹«½ï"
"2017-07-31","µç½âÄø","252.0","¶Ö"
"2017-07-31","Îý","0.0","¶Ö"
"2017-07-31","îÜ","1.0","¶Ö"
"2017-07-31","î÷","0.0","¹«½ï"
"2017-07-28","µç½âÄø","232.0","¶Ö"
"2017-07-28","Îý","0.0","¶Ö"
"2017-07-28","îÜ","0.0","¶Ö"
"2017-07-28","î÷","0.0","¹«½ï"
"2017-07-27","µç½âÄø","263.0","¶Ö"
"2017-07-27","Îý","0.0","¶Ö"
"2017-07-27","îÜ","21.25","¶Ö"
"2017-07-27","î÷","0.0","¹«½ï"
"2017-07-26","µç½âÄø","1343.0","¶Ö"
"2017-07-26","Îý","0.0","¶Ö"
"2017-07-26","îÜ","0.0","¶Ö"
"2017-07-26","î÷","0.0","¹«½ï"
"2017-07-25","µç½âÄø","231.0","¶Ö"
"2017-07-25","Îý","0.0","¶Ö"
"2017-07-25","îÜ","3.0","¶Ö"
"2017-07-25","î÷","0.0","¹«½ï"
"2017-07-24","µç½âÄø","205.0","¶Ö"
"2017-07-24","Îý","0.0","¶Ö"
"2017-07-24","îÜ","3.5","¶Ö"
"2017-07-24","î÷","0.0","¹«½ï"
"2017-07-21","µç½âÄø","773.0","¶Ö"
"2017-07-21","Îý","0.0","¶Ö"
"2017-07-21","îÜ","11.0","¶Ö"
"2017-07-21","î÷","0.0","¹«½ï"
"2017-07-20","µç½âÄø","1152.0","¶Ö"
"2017-07-20","Îý","0.0","¶Ö"
"2017-07-20","îÜ","5.0","¶Ö"
"2017-07-20","î÷","0.0","¹«½ï"
"2017-07-19","µç½âÄø","1060.0","¶Ö"
"2017-07-19","Îý","0.0","¶Ö"
"2017-07-19","îÜ","20.0","¶Ö"
"2017-07-19","î÷","0.3","¹«½ï"
"2017-07-18","µç½âÄø","404.0","¶Ö"
"2017-07-18","Îý","0.0","¶Ö"
"2017-07-18","îÜ","0.0","¶Ö"
"2017-07-18","î÷","0.0","¹«½ï"
"2017-07-18","²»Ðâ¸Ö","423.0","¶Ö"
"2017-07-17","µç½âÄø","425.0","¶Ö"
"2017-07-17","Îý","0.0","¶Ö"
"2017-07-17","îÜ","3.0","¶Ö"
"2017-07-17","î÷","0.3","¹«½ï"
"2017-07-14","µç½âÄø","941.0","¶Ö"
"2017-07-14","Îý","0.0","¶Ö"
"2017-07-14","îÜ","45.75","¶Ö"
"2017-07-14","î÷","0.0","¹«½ï"
"2017-07-14","²»Ðâ¸Ö","19.0","¶Ö"
"2017-07-13","µç½âÄø","1280.0","¶Ö"
"2017-07-13","Îý","0.0","¶Ö"
"2017-07-13","îÜ","1.5","¶Ö"
"2017-07-13","î÷","0.2","¹«½ï"
"2017-07-13","²»Ðâ¸Ö","20.0","¶Ö"
"2017-07-12","µç½âÄø","1236.0","¶Ö"
"2017-07-12","Îý","0.0","¶Ö"
"2017-07-12","îÜ","1.0","¶Ö"
"2017-07-12","î÷","0.0","¹«½ï"
"2017-07-12","²»Ðâ¸Ö","63.0","¶Ö"
"2017-07-11","µç½âÄø","408.0","¶Ö"
"2017-07-11","Îý","0.0","¶Ö"
"2017-07-11","îÜ","1.0","¶Ö"
"2017-07-11","î÷","0.0","¹«½ï"
"2017-07-11","²»Ðâ¸Ö","59.0","¶Ö"
"2017-07-10","µç½âÄø","404.0","¶Ö"
"2017-07-10","Îý","0.0","¶Ö"
"2017-07-10","îÜ","0.0","¶Ö"
"2017-07-10","î÷","0.0","¹«½ï"
"2017-07-10","²»Ðâ¸Ö","175.0","¶Ö"
"2017-07-07","µç½âÄø","703.0","¶Ö"
"2017-07-07","Îý","0.0","¶Ö"
"2017-07-07","îÜ","1.0","¶Ö"
"2017-07-07","î÷","0.0","¹«½ï"
"2017-07-07","²»Ðâ¸Ö","130.0","¶Ö"
"2017-07-06","µç½âÄø","1254.0","¶Ö"
"2017-07-06","Îý","0.0","¶Ö"
"2017-07-06","îÜ","0.0","¶Ö"
"2017-07-06","î÷","0.0","¹«½ï"
"2017-07-05","µç½âÄø","206.0","¶Ö"
"2017-07-05","Îý","0.0","¶Ö"
"2017-07-05","îÜ","0.0","¶Ö"
"2017-07-05","î÷","0.0","¹«½ï"
"2017-07-04","µç½âÄø","297.0","¶Ö"
"2017-07-04","Îý","0.0","¶Ö"
"2017-07-04","îÜ","4.0","¶Ö"
"2017-07-04","î÷","0.0","¹«½ï"
"2017-07-03","µç½âÄø","204.0","¶Ö"
"2017-07-03","Îý","0.0","¶Ö"
"2017-07-03","îÜ","0.0","¶Ö"
"2017-07-03","î÷","0.0","¹«½ï"
"2017-07-03","²»Ðâ¸Ö","20.0","¶Ö"
"2017-06-30","µç½âÄø","304.0","¶Ö"
"2017-06-30","Îý","0.0","¶Ö"
"2017-06-30","îÜ","3.0","¶Ö"
"2017-06-30","î÷","0.0","¹«½ï"
"2017-06-29","µç½âÄø","355.0","¶Ö"
"2017-06-29","Îý","0.0","¶Ö"
"2017-06-29","îÜ","1.0","¶Ö"
"2017-06-29","î÷","0.0","¹«½ï"
"2017-06-28","µç½âÄø","174.0","¶Ö"
"2017-06-28","Îý","0.0","¶Ö"
"2017-06-28","îÜ","0.0","¶Ö"
"2017-06-28","î÷","0.0","¹«½ï"
"2017-06-27","µç½âÄø","1397.0","¶Ö"
"2017-06-27","Îý","0.0","¶Ö"
"2017-06-27","îÜ","1.0","¶Ö"
"2017-06-27","î÷","0.0","¹«½ï"
"2017-06-26","µç½âÄø","252.0","¶Ö"
"2017-06-26","Îý","0.0","¶Ö"
"2017-06-26","îÜ","0.0","¶Ö"
"2017-06-26","î÷","0.0","¹«½ï"
"2017-06-23","µç½âÄø","473.0","¶Ö"
"2017-06-23","Îý","0.0","¶Ö"
"2017-06-23","îÜ","3.0","¶Ö"
"2017-06-23","î÷","0.0","¹«½ï"
"2017-06-23","²»Ðâ¸Ö","48.0","¶Ö"
"2017-06-22","µç½âÄø","410.0","¶Ö"
"2017-06-22","Îý","0.0","¶Ö"
"2017-06-22","îÜ","0.0","¶Ö"
"2017-06-22","î÷","0.0","¹«½ï"
"2017-06-21","µç½âÄø","447.0","¶Ö"
"2017-06-21","Îý","0.0","¶Ö"
"2017-06-21","îÜ","0.0","¶Ö"
"2017-06-21","î÷","0.0","¹«½ï"
"2017-06-20","µç½âÄø","429.0","¶Ö"
"2017-06-20","Îý","0.0","¶Ö"
"2017-06-20","îÜ","0.0","¶Ö"
"2017-06-20","î÷","0.0","¹«½ï"
"2017-06-19","µç½âÄø","505.0","¶Ö"
"2017-06-19","Îý","0.0","¶Ö"
"2017-06-19","îÜ","3.0","¶Ö"
"2017-06-19","î÷","0.0","¹«½ï"
"2017-06-16","µç½âÄø","723.0","¶Ö"
"2017-06-16","Îý","0.0","¶Ö"
"2017-06-16","îÜ","2.5","¶Ö"
"2017-06-16","î÷","0.0","¹«½ï"
"2017-06-16","²»Ðâ¸Ö","246.0","¶Ö"
"2017-06-15","µç½âÄø","252.0","¶Ö"
"2017-06-15","Îý","0.0","¶Ö"
"2017-06-15","îÜ","0.0","¶Ö"
"2017-06-15","î÷","0.0","¹«½ï"
"2017-06-14","µç½âÄø","150.0","¶Ö"
"2017-06-14","Îý","0.0","¶Ö"
"2017-06-14","îÜ","0.0","¶Ö"
"2017-06-14","î÷","0.0","¹«½ï"
"2017-06-13","µç½âÄø","256.0","¶Ö"
"2017-06-13","Îý","0.0","¶Ö"
"2017-06-13","îÜ","499.25","¶Ö"
"2017-06-13","î÷","0.0","¹«½ï"
"2017-06-13","²»Ðâ¸Ö","30.0","¶Ö"
"2017-06-12","µç½âÄø","554.0","¶Ö"
"2017-06-12","Îý","0.0","¶Ö"
"2017-06-12","îÜ","6.0","¶Ö"
"2017-06-12","î÷","0.0","¹«½ï"
"2017-06-09","µç½âÄø","306.0","¶Ö"
"2017-06-09","Îý","0.0","¶Ö"
"2017-06-09","îÜ","6.0","¶Ö"
"2017-06-09","î÷","0.0","¹«½ï"
"2017-06-08","µç½âÄø","777.0","¶Ö"
"2017-06-08","Îý","0.0","¶Ö"
"2017-06-08","îÜ","0.0","¶Ö"
"2017-06-08","î÷","0.0","¹«½ï"
"2017-06-07","µç½âÄø","301.0","¶Ö"
"2017-06-07","Îý","0.0","¶Ö"
"2017-06-07","îÜ","6.0","¶Ö"
"2017-06-07","î÷","0.0","¹«½ï"
"2017-06-06","µç½âÄø","301.0","¶Ö"
"2017-06-06","Îý","0.0","¶Ö"
"2017-06-06","îÜ","2.0","¶Ö"
"2017-06-06","î÷","0.0","¹«½ï"
"2017-06-05","µç½âÄø","390.0","¶Ö"
"2017-06-05","Îý","0.0","¶Ö"
"2017-06-05","îÜ","0.5","¶Ö"
"2017-06-05","î÷","0.0","¹«½ï"
"2017-06-02","µç½âÄø","995.0","¶Ö"
"2017-06-02","Îý","0.0","¶Ö"
"2017-06-02","îÜ","2.0","¶Ö"
"2017-06-02","î÷","0.0","¹«½ï"
"2017-06-01","µç½âÄø","290.0","¶Ö"
"2017-06-01","Îý","0.0","¶Ö"
"2017-06-01","îÜ","10.0","¶Ö"
"2017-06-01","î÷","0.0","¹«½ï"
"2017-05-31","µç½âÄø","441.0","¶Ö"
"2017-05-31","Îý","0.0","¶Ö"
"2017-05-31","îÜ","5.0","¶Ö"
"2017-05-31","î÷","0.0","¹«½ï"
"2017-05-26","µç½âÄø","572.0","¶Ö"
"2017-05-26","Îý","0.0","¶Ö"
"2017-05-26","îÜ","6.0","¶Ö"
"2017-05-26","î÷","0.0","¹«½ï"
"2017-05-26","²»Ðâ¸Ö","8.0","¶Ö"
"2017-05-25","µç½âÄø","1247.0","¶Ö"
"2017-05-25","Îý","0.0","¶Ö"
"2017-05-25","îÜ","0.0","¶Ö"
"2017-05-25","î÷","0.0","¹«½ï"
"2017-05-25","²»Ðâ¸Ö","14.0","¶Ö"
"2017-05-24","µç½âÄø","2018.0","¶Ö"
"2017-05-24","Îý","0.0","¶Ö"
"2017-05-24","îÜ","11.0","¶Ö"
"2017-05-24","î÷","0.0","¹«½ï"
"2017-05-24","²»Ðâ¸Ö","100.0","¶Ö"
"2017-05-23","µç½âÄø","531.0","¶Ö"
"2017-05-23","Îý","0.0","¶Ö"
"2017-05-23","îÜ","10.0","¶Ö"
"2017-05-23","î÷","0.0","¹«½ï"
"2017-05-22","µç½âÄø","286.0","¶Ö"
"2017-05-22","Îý","0.0","¶Ö"
"2017-05-22","îÜ","0.0","¶Ö"
"2017-05-22","î÷","0.0","¹«½ï"
"2017-05-19","µç½âÄø","955.0","¶Ö"
"2017-05-19","Îý","0.0","¶Ö"
"2017-05-19","îÜ","9.5","¶Ö"
"2017-05-19","î÷","0.0","¹«½ï"
"2017-05-18","µç½âÄø","432.0","¶Ö"
"2017-05-18","Îý","0.0","¶Ö"
"2017-05-18","îÜ","1.25","¶Ö"
"2017-05-18","î÷","0.0","¹«½ï"
"2017-05-17","µç½âÄø","646.0","¶Ö"
"2017-05-17","Îý","0.0","¶Ö"
"2017-05-17","îÜ","14.5","¶Ö"
"2017-05-17","î÷","0.0","¹«½ï"
"2017-05-16","µç½âÄø","401.0","¶Ö"
"2017-05-16","Îý","0.0","¶Ö"
"2017-05-16","îÜ","5.0","¶Ö"
"2017-05-16","î÷","0.0","¹«½ï"
"2017-05-16","²»Ðâ¸Ö","243.0","¶Ö"
"2017-05-15","µç½âÄø","1716.0","¶Ö"
"2017-05-15","Îý","0.0","¶Ö"
"2017-05-15","îÜ","6.0","¶Ö"
"2017-05-15","î÷","0.0","¹«½ï"
"2017-05-12","µç½âÄø","1162.0","¶Ö"
"2017-05-12","Îý","0.0","¶Ö"
"2017-05-12","îÜ","5.75","¶Ö"
"2017-05-12","î÷","0.0","¹«½ï"
"2017-05-12","²»Ðâ¸Ö","10.0","¶Ö"
"2017-05-11","µç½âÄø","631.0","¶Ö"
"2017-05-11","Îý","0.0","¶Ö"
"2017-05-11","îÜ","32.0","¶Ö"
"2017-05-11","î÷","5.6","¹«½ï"
"2017-05-10","µç½âÄø","895.0","¶Ö"
"2017-05-10","Îý","0.0","¶Ö"
"2017-05-10","îÜ","11.0","¶Ö"
"2017-05-10","î÷","0.0","¹«½ï"
"2017-05-09","µç½âÄø","1330.0","¶Ö"
"2017-05-09","Îý","0.0","¶Ö"
"2017-05-09","îÜ","7.0","¶Ö"
"2017-05-09","î÷","0.0","¹«½ï"
"2017-05-08","µç½âÄø","625.0","¶Ö"
"2017-05-08","Îý","0.0","¶Ö"
"2017-05-08","îÜ","0.5","¶Ö"
"2017-05-08","î÷","0.0","¹«½ï"
"2017-05-05","µç½âÄø","575.0","¶Ö"
"2017-05-05","Îý","0.0","¶Ö"
"2017-05-05","îÜ","22.0","¶Ö"
"2017-05-05","î÷","0.2","¹«½ï"
"2017-05-04","µç½âÄø","648.0","¶Ö"
"2017-05-04","Îý","0.0","¶Ö"
"2017-05-04","îÜ","0.0","¶Ö"
"2017-05-04","î÷","0.0","¹«½ï"
"2017-05-04","²»Ðâ¸Ö","29.0","¶Ö"
"2017-05-03","µç½âÄø","705.0","¶Ö"
"2017-05-03","Îý","0.0","¶Ö"
"2017-05-03","îÜ","4.0","¶Ö"
"2017-05-03","î÷","0.0","¹«½ï"
"2017-05-03","²»Ðâ¸Ö","48.0","¶Ö"
"2017-05-02","µç½âÄø","597.0","¶Ö"
"2017-05-02","Îý","0.0","¶Ö"
"2017-05-02","îÜ","9.0","¶Ö"
"2017-05-02","î÷","0.2","¹«½ï"
"2017-04-28","µç½âÄø","551.0","¶Ö"
"2017-04-28","Îý","0.0","¶Ö"
"2017-04-28","îÜ","6.5","¶Ö"
"2017-04-28","î÷","0.0","¹«½ï"
"2017-04-27","µç½âÄø","824.0","¶Ö"
"2017-04-27","Îý","0.0","¶Ö"
"2017-04-27","îÜ","9.0","¶Ö"
"2017-04-27","î÷","0.1","¹«½ï"
"2017-04-27","²»Ðâ¸Ö","10.0","¶Ö"
"2017-04-26","µç½âÄø","1325.0","¶Ö"
"2017-04-26","Îý","0.0","¶Ö"
"2017-04-26","îÜ","10.5","¶Ö"
"2017-04-26","î÷","0.0","¹«½ï"
"2017-04-26","²»Ðâ¸Ö","10.0","¶Ö"
"2017-04-25","µç½âÄø","538.0","¶Ö"
"2017-04-25","Îý","0.0","¶Ö"
"2017-04-25","îÜ","4.5","¶Ö"
"2017-04-25","î÷","0.0","¹«½ï"
"2017-04-25","²»Ðâ¸Ö","10.0","¶Ö"
"2017-04-24","µç½âÄø","714.0","¶Ö"
"2017-04-24","Îý","0.0","¶Ö"
"2017-04-24","îÜ","21.0","¶Ö"
"2017-04-24","î÷","0.0","¹«½ï"
"2017-04-24","²»Ðâ¸Ö","10.0","¶Ö"
"2017-04-21","µç½âÄø","1471.0","¶Ö"
"2017-04-21","Îý","0.0","¶Ö"
"2017-04-21","îÜ","6.5","¶Ö"
"2017-04-21","î÷","0.0","¹«½ï"
"2017-04-20","µç½âÄø","309.0","¶Ö"
"2017-04-20","Îý","0.0","¶Ö"
"2017-04-20","îÜ","3.0","¶Ö"
"2017-04-20","î÷","0.0","¹«½ï"
"2017-04-19","µç½âÄø","359.0","¶Ö"
"2017-04-19","Îý","0.0","¶Ö"
"2017-04-19","îÜ","22.0","¶Ö"
"2017-04-19","î÷","0.0","¹«½ï"
"2017-04-18","µç½âÄø","362.0","¶Ö"
"2017-04-18","Îý","0.0","¶Ö"
"2017-04-18","îÜ","0.0","¶Ö"
"2017-04-18","î÷","0.0","¹«½ï"
"2017-04-18","²»Ðâ¸Ö","110.0","¶Ö"
"2017-04-17","µç½âÄø","529.0","¶Ö"
"2017-04-17","Îý","0.0","¶Ö"
"2017-04-17","îÜ","1.0","¶Ö"
